id,question,answer
7763,Who is the paternal grandfather of Lady Helen Taylor?,"She is the daughter of Prince Edward, Duke of Kent, and Katharine, Duchess of Kent, and a great-granddaughter of King George V. She is currently 43rd in line of succession to the British throne."
7764,Where did the director of film Barricade (2012 Film) study?,"In 1997, Currie moved to Toronto, Ontario to study at Norman Jewison's Canadian Film Centre."
7765,"Which film has the director who was born later, Riley The Cop or Ladies And Gentleman?",Ladies and Gentleman is a 2013 Indian Malayalam- language family drama film written and directed by Siddique and jointly produced by Antony Perumbavoor and Roy C. J. under their production companies Aashirvad Cinemas and Confident Group.
7766,Where was the performer of song My Own Kind Of Hat born?,"Haggard's last recording, a song called ""Kern River Blues,"" described his departure from Bakersfield in the late 1970s and his displeasure with politicians."
7767,"Which film was released first, Bulldog Drummond'S Bride or Vinashak – Destroyer?","Vinashak – Destroyer is a 1998 Indian Hindi action movie directed by Ravi Dewan and starring Sunil Shetty, Raveena Tandon and Danny Denzongpa."
7768,"Which film has the director who is older, En El Nombre Del Hijo or North Of Nevada?","Jorge Polaco( 20 November 1946 – 20 February 2014) was an Argentine filmmaker whose film"" En el nombre del hijo"" won best film at the 1988 Festroia International Film Festival in Setúbal, Portugal."
7769,"Which film has the director born later, In The Beginning There Was Underwear or Une Famille À Louer?",à louer is a 2015 French-Belgian comedy film directed by Jean-Pierre Améris and starring Benoît Poelvoorde and Virginie Efira.
7770,When was Mike Von Erich's father born?,"(August 16, 1929 – September 10, 1997), better known by his ring name Fritz Von Erich, was an American professional wrestler, carnival attraction, wrestling promoter, and the patriarch of the Von Erich family."
7771,Was Kristian Hopp or John Wren born first?,Kristian Ludvig Andreassen Hopp (11 June 1870 – 1954) was a Norwegian educator and politician for the Labour Party.
7772,Where was the director of film Hatchet Ii born?,"Adam Green (born March 31, 1975) is an American actor-filmmaker known for horror and comedy films, including the ""Hatchet"" franchise, ""Frozen"", and the television series ""Holliston""."
7773,"Which country Albertine, Baroness Staël Von Holstein's father is from?","Hedvig Gustava Albertina, Baroness de Staël-Holstein or simply Albertine (1797–1838), was the daughter of Erik Magnus Staël von Holstein and Madame de Staël, the granddaughter of Jacques Necker and Suzanne Curchod, wife to Victor de Broglie (1785–1870), and mother to Albert, a French monarchist politician, and Louise, a novelist and biographer."
7774,"Which film has the director born later, Jungle Ka Jawahar or Frankenstein'S Daughter?","Frankenstein's Daughter is an independently made 1958 American black- and- white science fiction/ horror film drama, produced by Marc Frederic and George Fowley, directed by Richard E. Cunha, that stars John Ashley, Sandra Knight, Donald Murphy, and Sally Todd."
7775,"Which film whose director is younger, Era D'Estate or Mr. Baseball?","Era d'estate("" It Was in the Summer"") is an Italian biographical drama film directed by Fiorella Infascelli, starring Giuseppe Fiorello and Massimo Popolizio, based on the permanence of judges Paolo Borsellino and Giovanni Falcone on the Asinara island."
7776,"Which film has the director born later, La Carapate or Rodeo Rhythm?","Gérard Oury( born Max- Gérard Houry Tannenbaum; 29 April 1919 – 20 July 2006) was a French film director, actor and writer."
7777,"Which film came out first, Blood And Diamonds or Opened By Mistake?",Blood and Diamonds is a 1978 Italian crime film directed by Fernando di Leo.
7778,"Which film whose director was born first, Sin'S Pay Day or Gunaah (1993 Film)?","Mahesh Bhatt( born 20 September 1948) is an Indian film director, producer and screenwriter known for his works exclusively in Hindi cinema."
7779,"Who is Henry Iv, Duke Of Brabant's maternal grandfather?","Adelaide of Burgundy (c. 1233 – 23 October 1273) was a daughter of Hugh IV, Duke of Burgundy by his first wife Yolande of Dreux."
7780,Who is the paternal grandfather of Petre Bagration-Gruzinsky?,"Alexander was a son of Prince Bagrat of Georgia, the 4th son of king George XII of Georgia."
7781,Who is Anurutha's uncle?,Inthasom was a younger brother of Kingkitsarat.
7782,Where was the place of burial of the director of film Hush Money (1931 Film)?,He is interred in the Westwood Village Memorial Park Cemetery in Los Angeles.
7783,What is the date of death of Cardinal-Infante Afonso Of Portugal's mother?,"Cardinal-Infante Afonso (23 April 1509–21 April 1540) was a Portuguese ""infante"" (prince), son of King Manuel I of Portugal and his wife Maria of Aragon."
7784,"Who is the paternal grandmother of Louis, Duke Of Burgundy?","Louis, Duke of Burgundy and later Dauphin of France (16 August 1682 – 18 February 1712) was the eldest son of Louis, Grand Dauphin, and father of Louis XV, and briefly heir-apparent to the throne from his father's death in April 1711 to his own death 10 months later."
7785,Where did Cornelia James Cannon's husband graduate from?,"Walter Bradford Cannon (October 19, 1871 – October 1, 1945) was an American physiologist, professor and chairman of the Department of Physiology at Harvard Medical School."
7786,Where did Harald Bluetooth's father die?,"He ruled from Jelling, and made the oldest of the Jelling Stones in honour of his wife Thyra."
7787,"Which film has the director who is older than the other, Morecambe Church Lads' Brigade At Drill or Anne Against The World? ","Morecambe Church Lads' Brigade at Drill is a 1901 British short silent documentary film, directed by James Kenyon and Sagar Mitchell, showing the parade drill of the Morecambe Church Lads' Brigade on 3 July 1901."
7788,"Which film was released more recently, Shanghai Dreams or Canadian Mounties Vs. Atomic Invaders?","Shanghai Dreams is a 2005 Chinese film directed by Wang Xiaoshuai and starring Gao Yuanyuan, Li Bin, Tang Yang, Wang Xiaoyang, and Yao Anlian."
7789,Do both directors of films A Summer'S Tale and Promise At Dawn share the same nationality?,"Jean Marie Maurice Schérer or Maurice Henri Joseph Schérer, known as Éric Rohmer (21 March 192011 January 2010), was a French film director, film critic, journalist, novelist, screenwriter, and teacher."
7790,"Which film was released more recently, The Prophecy 3: The Ascent or Salome Of The Tenements?",Salome of the Tenements is a 1925 American silent drama film adapted to the screen by Sonya Levien from the Anzia Yezierska novel of the same name.
7791,Are both Laubusbach and Hudau located in the same country?,"Hudau is a river of Schleswig- Holstein, Germany."
7792,"Which film was released more recently, Boundaries Of The Heart or Truck Turner?","Truck Turner, also known as Black Bullet, is a 1974 blaxploitation film, starring Isaac Hayes and Yaphet Kotto, and directed by Jonathan Kaplan."
7793,Where was the place of death of Ansegisel's father?,"Saint Arnulf of Metz (582645) was a Frankish bishop of Metz and advisor to the Merovingian court of Austrasia, who retired to the Abbey of Remiremont."
7794,What is the place of birth of the director of film Dark Clouds Over The Dachstein?,"Wetterleuchten am Dachstein) is a 1953 Austrian-German drama film directed by Anton Kutter and starring Gisela Fackeldey, Eduard Köck and Marianne Koch."
7795,"Who died first, Maurice Garçon or Catherine Pavlovna Of Russia?","Grand Duchess Catherine Pavlovna of Russia( 21 May 1788[ OS 10 May 1788] – 9 January 1819) later Queen Catharina Pavlovna of Württemberg, was the fourth daughter of Tsar Paul I of Russia and Duchess Sophie Dorothea of Württemberg."
7796,"Which film has the director born later, The Girl Of Gold or Harriet Craig?","John Ince, also known as John E. Ince,( August 29, 1878 – April 10, 1947) was an American stage and motion pictures actor, a film director, and the eldest brother of Thomas H. Ince and Ralph Ince."
7797,Are director of film Tactical Force and director of film Jumanji from the same country?,"Joseph Eggleston Johnston II( born May 13, 1950) is an American film director and former visual effects artist best known for such effects- driven movies as"" Honey, I Shrunk the Kids""( 1989),"" Jumanji""( 1995) and"" Jurassic Park III""( 2001)."
7798,Are Rio Verde (Sapucaí) and Ituí River both located in the same country?,It traverses some 370 km of the Atalaia do Norte municipality in the Amazonas state of north- western Brazil.
7799,Do both films Deadbeat At Dawn and Fly Away Home have the directors from the same country?,Fly Away Home( Flying Wild and Father Goose) is a 1996 Canadian/ American/ New Zealand family coming- of- age goose drama film directed by Carroll Ballard.
7800,Where was the husband of Mildred Paxton Moody born?,"Mildred Paxton Moody (April 20, 1897 – March 1, 1983) was the wife of Texas Governor Dan Moody."
7801,Which country Zita Of Bourbon-Parma's father is from?,"Born as the seventeenth child of the dispossessed Robert I, Duke of Parma, and his second wife, Infanta Maria Antonia of Portugal, Zita married the then Archduke Charles of Austria in 1911."
7802,Who is the mother-in-law of Queen Marau?,Johanna Marau Taʻaroa a Tepau Salmon (24 April 1860 – 2 February 1935) was the consort of King Pōmare V who ruled from 1877 to 1880 and was the last queen consort of the Kingdom of Tahiti.
7803,What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,"Al-Otaiba was born in Abu Dhabi and has lived in Egypt, North Africa, Europe, South America, and North America."
7804,Who is John Corvinus's paternal grandfather?,"John Corvinus (Hungarian: ""Corvin János"", Croatian: ""Ivaniš Korvin""; 2 April 1473 – 12 October 1504) was the illegitimate son of Matthias Corvinus, King of Hungary, and his mistress, Barbara Edelpöck."
7805,"Who is Prince Eugenio, Duke Of Genoa's father?","Prince Eugenio was the sixth and youngest child of Prince Thomas of Savoy, 2nd Duke of Genoa and his wife Princess Isabella of Bavaria."
7806,Where did the director of film I Live On Danger die?,"Sam White, one of the famous White Brothers film and television pioneers, died peacefully at his Encino home just short of his 100th birthday."
7807,"Which film was released more recently, Cabin Fever: Patient Zero or That Awkward Moment?","That Awkward Moment( released as Are We Officially Dating? in Australia, Indonesia, and New Zealand) is a 2014 American romantic comedy- drama film written and directed by Tom Gormican in his directorial debut."
7808,"Who is the paternal grandmother of Henry Iii, Count Of Bar?","He was the son of Theobald II, Count of Bar and Jeanne de Toucy."
7809,What nationality is Iulla Antonia's father?,"Iulla Antonia or Julia Antonia, is thought to be a daughter of Roman consul of 10 BCE Iullus Antonius and Claudia Marcella Major."
7810,"Are Leontari, Boeotia and Ardameri both located in the same country?","Ardameri is a village in the regional unit of Thessaloniki of Greece, at the foot of Mount Chortiatis, on the site of the medieval settlement of Ardamerion( Αρδαμέριον)."
7811,"Which film has the director born earlier, The Mayfair Set or The Kaiser'S Shadow?","The Mayfair Set, subtitled Four Stories about the Rise of Business and the Decline of Political Power, is a BBC television documentary series by filmmaker Adam Curtis."
7812,Which country Prince Mircea Of Romania's father is from?,"Prince Mircea of Romania (3 January 19132 November 1916) was the third son and last child of King Ferdinand of Romania and his wife, Marie of Edinburgh and a great-grandson of Queen Victoria through his mother."
7813,"Which film has the director died later, Three Around Edith or Pompey The Conqueror?","Pompey the Conqueror( Spanish: Pompeyo el conquistador) is a 1953 Mexican comedy drama film directed by René Cardona and starring Joaquín Pardavé, Manolo Fábregas and Pepita Morillo."
7814,Who is Pepin Of Herstal's paternal grandfather?,"The son of the powerful Frankish statesman Ansegisel, Pepin worked to establish his family, the Pippinids, as the strongest in Francia."
7815,Where was the place of death of Samsu-Iluna's father?,Hammurabi  was the sixth king of the First Babylonian dynasty of the Amorite tribe reigning from c. 1792 BC to c. 1750 BC (according to the Middle Chronology).
7816,Are By The Grace Of God (Film) and A Texas Steer from the same country?,A Texas Steer is a lost 1927 American silent film directed by Richard Wallace and starring Will Rogers.
7817,"Who is younger, Louis Abel Beffroy De Reigny or Karl Francis?","Karl Francis( born 1 April 1942) is a Welsh film and television director, producer and screenwriter, associated with left- wing political causes."
7818,Was T. O. Bobe or Michel Goba born first?,"T.O. Bobe( February 13, 1969, in Constanţa) is a Romanian poet and screenwriter for film and television."
7819,Where was the director of film You'Ve Got To Walk It Like You Talk It Or You'Ll Lose That Beat born?,"Peter Locke is an American film producer, and co-founder of The Kushner-Locke Company along with his partner, Donald Kushner."
7820,Are Geordie (Film) and The Last Target both from the same country?,"Geordie( released in the United States as Wee Geordie) is a 1955 British film directed and co-produced by Frank Launder, with Bill Travers in the title role as a Scotsman who becomes an athlete and competes at the 1956 Summer Olympics in Melbourne."
7821,Do Johann Friedrich Abegg and Hans Müller (Director) share the same nationality?,"Johann Friedrich Abegg( November 30, 1765 in Roxheim near Kreuznach – December 16, 1840 in Heidelberg) was a German theologian."
7822,"Which film has the director who was born earlier, Son-Rise: A Miracle Of Love or Jurassic World?","It was directed by Colin Trevorrow, written by Derek Connolly and Trevorrow, produced by Frank Marshall and Patrick Crowley, and stars Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Omar Sy, BD Wong, and Irrfan Khan."
7823,"Are both airports, Angoon Seaplane Base and Siwo Airport, located in the same country?","Angoon Seaplane Base is a state-owned public-use seaplane base located one nautical mile (2 km) southeast of the central business district of Angoon, a city on Admiralty Island in the Hoonah-Angoon Census Area of the U.S. state of Alaska."
7824,Do William J. Boarman and Tomas Sinisalo share the same nationality?,"Tomas Sinisalo( born January 15, 1986) is an American- born Finnish professional ice hockey forward who currently is the head coach of and plays for Oulunkylän Kiekko- Kerho of the Finnish 2. Divisioona."
7825,"Where did Philip William, Prince Of Orange's mother die?","Philip William, Prince of Orange (19 December 1554 in Buren, Gelderland – 20 February 1618) was the eldest son of William the Silent by his first wife Anna van Egmont."
7826,"Who was born first, Jörn Lenz or Alejandro Romualdo?","Alejandro Romualdo( December 19, 1926 Trujillo, Peru – May 27, 2008 Lima, Peru) was a Peruvian poet of the 20th century."
7827,Which country the performer of song 99 Miles From L.A. is from?,"""99 Miles From L.A."" is a 1975 single written by Albert Hammond and Hal David and performed by Hammond."
7828,"Who lived longer, Mignon Mclaughlin or Gottfried Baist?","Gottfried Baist (Ulfa (today part of Nidda), 28 February 1853 - Freiburg im Breisgau, 22 October 1920) was a German Hispanist and Romance studies scholar."
7829,"Where was the place of death of Herman I, Duke Of Swabia's father?","Herman I (died 10 December 949) was the first Conradine Duke of Swabia (from 926), the son of Gebhard, Duke of Lorraine, and a cousin of King Conrad I of Germany."
7830,"Which film has the director died first, The Vein or Judgment Deferred?","Judgment Deferred is a 1952 British drama film directed by John Baxter and starring Joan Collins, Hugh Sinclair, Helen Shingler and Abraham Sofaer."
7831,"Who lived longer, Mukat Behari Lal Bhargava or Salvador J. Lara?","Mukat Behari Lal Bhargava( 30 June 1903 – 18 December 1980 in Jaipur) was an Indian politician, a member of the Indian National Congress political party and a member of the Lok Sabha from 1951 to 1967."
7832,"Which country Henry Of Berg, Lord Of Windeck's father is from?","Adolf VII of Berg (also referred to as Adolf IV, especially in the Netherlands and in Germany)"
7833,Do director of film The Little Shepherd Of Kingdom Come and director of film Cat People (1982 Film) share the same nationality?,"Andrew Victor McLaglen( July 28, 1920 – August 30, 2014) was a British- born American film and television director, known for Westerns and adventure films, often starring John Wayne or James Stewart."
7834,"Which film has the director who was born first, The Gaucho War or Daphne And The Diplomat?","The Gaucho War( La guerra gaucha) is a 1942 Silver Condor award- winning Argentine historical drama and epic film directed by Lucas Demare and starring Enrique Muiño, Francisco Petrone, Ángel Magaña, and Amelia Bence."
7835,"Was Duncan Currie or Latimer Neville, 6Th Baron Braybrooke born first?","Latimer Neville, 6th Baron Braybrooke( 22 April 1827 – 12 January 1904), styled The Hon. Latimer Neville until 1902, was a British peer, clergyman and academic, for half a century Master of Magdalene College, Cambridge."
7836,"Who was born later, Allan Havey or Bradley Dredge?",Bradley Dredge( born 6 July 1973) is a Welsh professional golfer who plays on the European Tour.
7837,Who is Bohemond Iv Of Antioch's paternal grandmother?,"He was the elder son of Constance of Antioch and her first husband, Raymond of Poitiers."
7838,Where was the father of Princess Elisabeth Of Saxe-Altenburg (1826–1896) born?,"Princess Elisabeth Pauline Alexandrine of Saxe-Altenburg (26 March 1826 – 2 February 1896) was a daughter of Joseph, Duke of Saxe-Altenburg and his wife Duchess Amelia of Württemberg."
7839,"Which film was released more recently, Inn Of The Damned or The Assigned Servant?",The Assigned Servant is a 1911 Australian silent film about a convict who is transported to Van Diemen's Land.
7840,What is the place of birth of Anatoly Koni's father?,"Fyodor Alexeyevich Koni (Фёдор Алексеевич Кони, 21 March 1809, Moscow, Russian Empire, - 6 February 1889, Saint Petersburg, Russian Empire) was a Russian dramatist, theatre critic and literary historian, editor and memoirist."
7841,"Which film has the director died first, Klondike Annie or Pirate Treasure?","Raoul A. Walsh (March 11, 1887December 31, 1980) was an American film director, actor, founding member of the Academy of Motion Picture Arts and Sciences (AMPAS) and the brother of the silent screen actor George Walsh."
7842,Do both directors of films I Lived With You and Tom Brown'S Schooldays (1951 Film) have the same nationality?,"Tom Brown's Schooldays is a 1951 British drama film, produced by Brian Desmond Hurst, directed by Gordon Parry and starring John Howard Davies, Robert Newton and James Hayter."
7843,Which country Piya Yaza Dewi's husband is from?,"Between 1401 and 1418, he met Ava's King Minkhaung I and Crown Prince Minye Kyawswa head-on in Lower Burma, Upper Burma, and Arakan."
7844,What nationality of the company that manufactured Bottle Caps (Candy)?,"Nestlé S.A.  is a Swiss multinational food and drink processing conglomerate corporation headquartered in Vevey, Vaud, Switzerland."
7845,Are Three Lives And Only One Death and Black Tights from the same country?,Black Tights( 1 -2-3- 4 ou Les Collants noirs) is a 1961 French anthology film featuring four ballet segments shot in Technirama and directed by Terence Young.
7846,"Which film came out earlier, A Lizard In A Woman'S Skin or Hyderabad Nawabs?","A Lizard in a Woman's Skin( Italian:"" Una lucertola con la pelle di donna"") is a 1971 Italian giallo film directed by Lucio Fulci."
7847,"Which film was released more recently, Nua Bou or The Damned United?","The Damned United is a 2009 British sports drama film directed by Tom Hooper and adapted by Peter Morgan from David Peace's bestselling novel"" The Damned Utd"", a largely fictional book based on the author's interpretation of Brian Clough's ill- fated tenure as football manager of Leeds United in 1974."
7848,Who is Dolores Costello's child?,"She was stepmother of John Barrymore's daughter Diana, by his second wife Blanche Oelrichs, the mother of John Drew Barrymore and Dolores"
7849,Which country Prince Welf Ernst Of Hanover's father is from?,"(Welf Ernst August Andreas Philipp Georg Wilhelm Ludwig Berthold Prinz von Hannover), Duke of Brunswick-Lüneburg (25 January 1947 – 10 January 1981) was the eldest son of Prince George William of Hanover and his wife Princess Sophie of Greece and Denmark, sister of Prince Philip, Duke of Edinburgh."
7850,What nationality is the founder of Atom.Com?,"Mika Salmi (born 16 November 1965) is a Finnish-born American entrepreneur, and executive in technology and media."
7851,Where was the director of film A Daughter Of The Poor born?,"He was born in New York, New York and died in Hollywood, California from a heart attack, aged 54."
7852,Where did Charles Edison's father die?,"He later established a botanic laboratory in Fort Myers, Florida in collaboration with businessmen Henry Ford and Harvey Firestone, and a laboratory in West Orange, New Jersey that featured the world's first film studio, the Black Maria."
7853,What is the place of birth of Annick Dumont's husband?,"Didier Gailhaguet (born 22 August 1953 in Béziers, France) is a former French figure skater and the president of the Fédération française des sports de glace."
7854,Where was the director of film Lovely Man born?,"Born in Japan and educated in Britain, Soeriaatmadja made his film debut in 2000 with the short film ""CulikKidnap""); it was followed five years later by ""Banyu BiruBlue Banyu""), his feature film debut."
7855,What is the date of death of Anna Of Mecklenburg's mother?,"Anna of Brandenburg (1 January 1507 – June 19, 1567 in Lübz) was a Duchess consort of Mecklenburg."
7856,Are Lønavatnet and Nodlandsvatnet both located in the same country?,"Nodlandsvatnet is a lake in the municipality of Eigersund in Rogaland county, Norway."
7857,"Which film has the director who was born earlier, On My Skin or A Secret?","On My Skin( also known as"" Upon My Skin"") is a 2003 Italian crime- drama film written and directed by Valerio Jalongo."
7858,Where did Mary Tappan Wright's husband study at?,She was the wife of classical scholar John Henry Wright and the mother of legal scholar and utopian novelist Austin Tappan Wright and geographer John Kirtland Wright.
7859,"Which film has the director died later, Zacne Grzechy or In The Hands Of A Brute?","Sidney Olcott( September 20, 1872 – December 16, 1949) was a Canadian- born film producer, director, actor and screenwriter."
7860,"Who is younger, Victor Amadeus, Prince Of Anhalt-Bernburg or Lu Shiow-Yen?","Victor Amadeus of Anhalt- Bernburg( 6 October 1634 in Harzgerode – 14 February 1718 in Bernburg), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Bernburg."
7861,Where was the place of death of Prince Karl Anton August Of Schleswig-Holstein-Sonderburg-Beck's father?,"Prince Karl Anton August of Schleswig-Holstein-Sonderburg-Beck (10 August 1727, in Marburg – 12 September 1759, in Stettin) was the son of Peter August, Duke of Schleswig-Holstein-Sonderburg-Beck and Princess Sophie of Hesse-Philippsthal."
7862,"Which film whose director is younger, Hilde Warren Und Der Tod or Terror Is A Man?","Terror Is a Man( also known as Blood Creature, Creature from Blood Island, The Gory Creatures, Island of Terror and Gore Creature) is a 1959 black- and- white Filipino/ American horror film directed by Gerardo de Leon."
7863,Who is the father of Louis X Of France?,Joan I (14 January 1273 – 31 March/2 April 1305)  was queen regnant of Navarre and countess of Champagne from 1274 until 1305; she was also queen consort of France by marriage to Philip IV of France.
7864,"Which film came out earlier, Moscow Chill or Khote Sikkey?",Khote Sikkey is a 1998 Indian Bollywood film directed by Partho Ghosh and produced by Krishan Oberoi.
7865,"Do the movies Boogie (2008 Film) and Weekend With My Mother, originate from the same country?",Weekend with my Mother is a 2009 Romanian drama film directed by Stere Gulea.
7866,"Who is Henri, Duke Of Verneuil's paternal grandmother?","Gaston Henri de Bourbon, Duke of Verneuil (3 November 1601 – 28 May 1682), was the illegitimate son of King Henry IV of France and his mistress, Catherine Henriette de Balzac d'Entragues."
7867,"Which film was released more recently, Tom At The Farm or Tunisian Victory?",Tunisian Victory is a 1944 Anglo- American propaganda film about the victories in the North Africa Campaign.
7868,"Where was the father of Ernest Gottlieb, Prince Of Anhalt-Plötzkau born?","Augustus of Anhalt-Plötzkau (Dessau, 14 July 1575 – Plötzkau, 22 August 1653), was a German prince of the House of Ascania and ruler of the unified principality of Anhalt."
7869,Was Angus Wagner or Juan Carlos Falcón born first?,Angus Wagner( born 30 October 1997 in Australia) is an Australian rugby union player who plays for the Brumbies in Super Rugby.
7870,"Who was born later, Anke Fuchs or Anders Lundqvist?","Anke Fuchs( Nevermann; 5 July 1937 – 14 October 2019), was a German lawyer and politician of the Social Democratic Party of Germany."
7871,"Who was born later, Shawn Lewfatt or Ken Karpoff?",Shawn Lewfatt( born 11 March 1977) is a former Australian rules footballer who played for Essendon in the Australian Football League( AFL).
7872,"Which film whose director is younger, Rocco And His Brothers or Au Plus Près Du Soleil?","Luchino Visconti di Modrone, Count of Lonate Pozzolo( 2 November 1906 – 17 March 1976), was an Italian theatre, opera and cinema director, as well as a screenwriter."
7873,Where was the director of film Demolition (2015 Film) born?,"After studying film at the Université de Montréal, Vallée went on to make a number of critically acclaimed short films, including ""Stéréotypes"" (1991), ""Les Fleurs magiques"" (1995), and ""Les Mots magiques"" (1998)."
7874,"Which film has the director died later, People In The Net or Mad Youth?","People in the Net , also known as Unwilling Agent, is a 1959 West German Cold War spy film directed by Franz Peter Wirth and starring Hansjörg Felmy, Johanna von Koczian and Hannes Messemer."
7875,"Which album was released first, Mörderwerk or Look What You'Re Doing To The Man?","Look What You're Doing to the Man is the second album by singer Melba Moore, released in 1971."
7876,Where did the director of film Dreaming Lhasa graduate from?,"Dreaming Lhasa  is a Tibetan-language film by veteran documentary filmmakers, Ritu Sarin and Tenzing Sonam, who have been making films about various aspects of Tibet under the banner of White Crane Films since 1990."
7877,Are both Indian Creek Correctional Center and Hill Of The Buddha located in the same country?,"The Hill of the Buddha is a Buddhist shrine at Makomanai Takino Cemetery in Sapporo, Japan designed by Japanese modernist architect Tadao Ando."
7878,"Who died first, Lotte Backes or Willem Van Haecht?",Willem van Haecht (1593 – 12 July 1637) was a Flemish painter best known for his pictures of art galleries and collections.
7879,Who is the paternal grandfather of Cornelia Africana Major?,"Publius Cornelius Scipio Africanus (236–183 BC), also known as Scipio Africanus Major, Scipio Africanus the Elder, and Scipio the Great, was a Roman general and later consul who is often regarded as one of the greatest military commanders and strategists of all time."
7880,"Which film has the director died first, Fools For Scandal or Melody Of Murder?","It was produced and directed by Mervyn LeRoy and was written by Herbert Fields and Joseph Fields with additional dialogue by Irving Brecher and uncredited contributions by others, based on the unproduced 1936 play"" Return Engagement"" by Nancy Hamilton, James Shute, and Rosemary Casey."
7881,What nationality is Andrew Balding's father?,"He became a licensed trainer in January 2003, when he succeeded his father Ian Balding."
7882,What is the place of birth of Abigail Mccarthy's husband?,"Abigail Quigley McCarthy (April 16, 1915 – February 1, 2001) was an American academic and writer, best known as the wife of politician and presidential contender Eugene McCarthy."
7883,What nationality is Hypsicratea's husband?,She ruled a confederacy of states with King Mithridates VI of Pontus.
7884,Where was the place of death of Charles (Archbishop Of Mainz)'s father?,Pepin died scarcely four years later and was buried in the Church of St. Radegonde in Poitiers.
7885,Where was the director of film All My Lenins born?,"Hardi Volmer (born 8 November 1957 in Pärnu) is an Estonian film director, puppet theatre set decorator and musician."
7886,Who is the spouse of the performer of song It'S Yours (Tamia Song)?,She has been married to former basketball player Grant Hill since 1999; they have two daughters.
7887,"Which film has the director who was born first, A Letter From Ulster or Per Amore Di Cesarina?","A Letter from Ulster is a 1942 documentary by Ulster- born movie director Brian Desmond Hurst who, along with his lifelong friend Terence Young( scriptwriter) and fellow Ulsterman and Assistant Director William( Bill) MacQuitty, created this film promoting a sense of community between the people of Northern Ireland and over one hundred thousand troops from the US based in Northern Ireland at the time."
7888,What is the place of birth of the director of film This Kind Of Love (Film)?,"Mario Colombi Guidotti, responsible for the literary supplement of the ""Journal of Parma"", began to publish his stories in the early 1950s."
7889,"Which film has the director who died earlier, The Undercover Woman or Way Of A Gaucho?","The Undercover Woman is a 1946 American comedy film directed by Thomas Carr, written by Sherman L. Lowe, Robert F. Metzler and Jerry Sackheim, and starring Stephanie Bachelor, Robert Livingston, Richard Fraser, Isabel Withers, Helene Heigh, Edythe Elliott and Elaine Lange."
7890,Are both Dead Man'S Evidence and Howl (2010 Film) from the same country?,"Howl is a 2010 American experimental film which explores both the Six Gallery debut and the 1957 obscenity trial of 20th- century American poet Allen Ginsberg's noted poem"" Howl""."
7891,"Which film has the director who was born later, The Poseidon Adventure (1972 Film) or Le Propre De L'Homme?","The Poseidon Adventure is a 1972 American disaster film directed by Ronald Neame, produced by Irwin Allen, and based on Paul Gallico's eponymous 1969 novel."
7892,Where does Harriet Orcutt Duleep's father work at?,"He was a long-time faculty member at the University of Wisconsin–Madison, and is known for developing the Cochrane–Orcutt estimation procedure."
7893,Which country the performer of song Latin Moon is from?,"After the success of the record, an alternative single was released featuring Massari, also a Canadian artist signed to the label with an amended music video released on December 13, 2011 months after the release of the original."
7894,"Which film was released earlier, Charlie Chaplin 2 or Kadathanadan Ambadi?","Kadathanadan Ambadi is a 1990 Indian Malayalam- language sword and sorcery film directed by Priyadarshan, written by Cochin Haneefa and produced by Sajan Vargeese."
7895,What is the place of birth of Mei Shaowu's father?,"Mei Shaowu (22 December 1928 - 28 September 2005) was a Chinese translator, author and scholar who was honorary president of the Mei Lanfang Memorial Hall  and president of the Mei Lanfang Literature and Art Research Association ."
7896,Who is the father of the director of film Monday'S Child (Film)?,"Born as Leopoldo Torres Nilsson (he later changed his paternal surname from Torres to Torre) was the son of Argentine pioneer film director Leopoldo Torres Ríos, with whom he collaborated between 1939 and 1949."
7897,Are both directors of films Naane Ennul Illai and Smart City (Film) from the same country?,"( English:"" Even I Am Not In Me"") is a 2010 Tamil film written and directed by former actress Jayachitra, starring her son Amresh Ganesh, in his acting debut, and Arya Menon in the lead roles, with Raaghav, Nassar, and Saranya Ponvannan, among others, playing supporting roles."
7898,Where was the performer of song 1913 Massacre born?,"Guthrie was brought up by middle-class parents in Okemah, Oklahoma, until he was 14, when his mother Mary was hospitalized as a consequence of Huntington's disease, a fatal hereditary neurological disorder."
7899,When is Thomas K. Sanders's wife's birthday?,"Carol Melton Sanders (July 30, 1932 – August 28, 2012) was an American bridge player from Nashville, Tennessee."
7900,"Which film came out earlier, The Secret Of Mountain Lake or Upstairs And Downstairs?","Upstairs and Downstairs is a 1959 British comedy drama film directed by Ralph Thomas and starring Michael Craig, Anne Heywood, Mylène Demongeot, Claudia Cardinale, James Robertson Justice, Joan Sims, Joan Hickson and Sid James."
7901,Are both directors of films L'Ultimo Gattopardo: Ritratto Di Goffredo Lombardo and Colossus Of The Arena from the same country?,"Ritratto di Goffredo Lombardo( translated:"" The last leopard: Portrait of Goffredo Lombardo"") is a 2010 Italian documentary film directed by Giuseppe Tornatore about the producer and Titanus president Goffredo Lombardo."
